2023-04-26 15:32:17,729 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-26 15:32:17,732 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics recorder config provided for this setup.
2023-04-26 15:32:17,732 | 1.1.0 | INFO | ibmfl.util.config                             | No model config provided for this setup.
2023-04-26 15:32:17,732 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics config provided for this setup.
2023-04-26 15:32:17,733 | 1.1.0 | INFO | ibmfl.util.config                             | No evidencia recordeer config provided for this setup.
{'config_file': '/home/trevormaxjs/Documents/Engineering/Research/20230426T193213/config_agg.yml'}
2023-04-26 15:32:17,733 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-26 15:32:17,733 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.START
2023-04-26 15:32:17,733 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-26 15:32:17,733 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-26 15:32:17,736 | 1.1.0 | INFO | ibmfl.aggregator.aggregator                   | Aggregator initialization successful
2023-04-26 15:32:17,736 | 1.1.0 | INFO | root                                          | State: States.CLI_WAIT
2023-04-26 15:32:17,736 | 1.1.0 | INFO | ibmfl.aggregator.aggregator                   | Aggregator start successful
2023-04-26 15:32:17,738 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://192.168.1.176:5000/ (Press CTRL+C to quit)
2023-04-26 15:32:23,362 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:23,365 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id bfbc7a25-c6f4-4029-b9a8-f8cdb79f4996
2023-04-26 15:32:23,366 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:1
2023-04-26 15:32:23,367 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:23] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:25,858 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:25,860 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e31d822f-1a65-4161-bc5f-f1badeff8028
2023-04-26 15:32:25,860 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:2
2023-04-26 15:32:25,862 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:25] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:28,301 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:28,301 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 70736264-15fd-48c4-b548-f4e52f99abb4
2023-04-26 15:32:28,302 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:3
2023-04-26 15:32:28,302 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:28] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:30,656 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:30,657 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0bf33b94-8486-43a2-acb5-699c2d1785df
2023-04-26 15:32:30,657 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:4
2023-04-26 15:32:30,658 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 15:32:30] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:33,134 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
