2023-04-26 16:25:44,355 | 1.1.0 | INFO | ibmfl.util.config                             | Getting details from config file.
2023-04-26 16:25:44,358 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics recorder config provided for this setup.
2023-04-26 16:25:44,358 | 1.1.0 | INFO | ibmfl.util.config                             | No model config provided for this setup.
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.util.config                             | No metrics config provided for this setup.
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.util.config                             | No evidencia recordeer config provided for this setup.
{'config_file': '/home/trevormaxjs/Documents/Engineering/Research/20230426T202540/config_agg.yml'}
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | State: States.START
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-26 16:25:44,359 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-26 16:25:44,362 | 1.1.0 | INFO | ibmfl.aggregator.aggregator                   | Aggregator initialization successful
2023-04-26 16:25:44,362 | 1.1.0 | INFO | root                                          | State: States.CLI_WAIT
2023-04-26 16:25:44,362 | 1.1.0 | INFO | ibmfl.aggregator.aggregator                   | Aggregator start successful
2023-04-26 16:25:44,363 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://192.168.1.176:5000/ (Press CTRL+C to quit)
2023-04-26 16:25:50,225 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:25:50,225 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id bfbc7a25-c6f4-4029-b9a8-f8cdb79f4996
2023-04-26 16:25:50,225 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:1
2023-04-26 16:25:50,226 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.154 - - [26/Apr/2023 16:25:50] "POST /6 HTTP/1.1" 200 -
