round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
0,1682537759.101066,,,,,,,,,,,,0.0,1682537759.101066,,,,,,,,,,,,0.0
1,1682537817.0705576,0.6276403731769986,0.8498498499393463,0.7987777777777778,0.9504444444444442,0.6893333333333336,0.7627777777777779,0.9371111111111108,0.6765555555555551,0.7824444444444443,0.9587777777777777,0.6893333333333336,57.96949147913191,1682537817.0705576,0.6276403731769986,0.8498498499393463,0.7987777777777778,0.9504444444444442,0.6893333333333336,0.7627777777777779,0.9371111111111108,0.6765555555555551,0.7824444444444443,0.9587777777777777,0.6893333333333336,57.96949147913191
2,1682537857.3091342,0.336477983991305,0.9057057009802925,0.9046666666666665,0.9353333333333335,0.8741111111111112,0.8788888888888888,0.9144444444444443,0.8612222222222226,0.9021111111111108,0.9431111111111113,0.8741111111111112,98.20806838936277,1682537857.3091342,0.336477983991305,0.9057057009802925,0.9046666666666665,0.9353333333333335,0.8741111111111112,0.8788888888888888,0.9144444444444443,0.8612222222222226,0.9021111111111108,0.9431111111111113,0.8741111111111112,98.20806838936277
3,1682537898.704222,0.2651266508632236,0.9273273196485308,0.9288888888888891,0.9418888888888891,0.9163333333333333,0.9065555555555554,0.9211111111111113,0.9053333333333335,0.928888888888889,0.9498888888888893,0.9163333333333333,139.60315550963085,1682537898.704222,0.2651266508632236,0.9273273196485308,0.9288888888888891,0.9418888888888891,0.9163333333333333,0.9065555555555554,0.9211111111111113,0.9053333333333335,0.928888888888889,0.9498888888888893,0.9163333333333333,139.60315550963085
4,1682537939.619943,0.23092703272898993,0.9374374330043793,0.938555555555556,0.9459999999999998,0.9306666666666668,0.9196666666666667,0.9281111111111111,0.9226666666666664,0.9385555555555556,0.9536666666666664,0.9306666666666668,180.5188771671719,1682537939.619943,0.23092703272898993,0.9374374330043793,0.938555555555556,0.9459999999999998,0.9306666666666668,0.9196666666666667,0.9281111111111111,0.9226666666666664,0.9385555555555556,0.9536666666666664,0.9306666666666668,180.5188771671719
5,1682537980.6211739,0.20675896886322234,0.9452452441056569,0.9457777777777775,0.9532222222222226,0.9394444444444445,0.9295555555555557,0.936111111111111,0.9321111111111107,0.9462222222222221,0.959888888888889,0.9394444444444445,221.520108071963,1682537980.6211739,0.20675896886322234,0.9452452441056569,0.9457777777777775,0.9532222222222226,0.9394444444444445,0.9295555555555557,0.936111111111111,0.9321111111111107,0.9462222222222221,0.959888888888889,0.9394444444444445,221.520108071963
6,1682538021.631571,0.18671187775002585,0.9500500500202179,0.9498888888888888,0.9546666666666669,0.9448888888888892,0.9330000000000002,0.9382222222222221,0.9364444444444442,0.9502222222222222,0.961888888888889,0.9448888888888892,262.53050479624005,1682538021.631571,0.18671187775002585,0.9500500500202179,0.9498888888888888,0.9546666666666669,0.9448888888888892,0.9330000000000002,0.9382222222222221,0.9364444444444442,0.9502222222222222,0.961888888888889,0.9448888888888892,262.53050479624005
7,1682538062.4728742,0.1729303442355659,0.9524524556265936,0.9532222222222224,0.9577777777777775,0.9484444444444448,0.9363333333333332,0.9419999999999998,0.9397777777777776,0.9541111111111114,0.9648888888888886,0.9484444444444448,303.37180790636273,1682538062.4728742,0.1729303442355659,0.9524524556265936,0.9532222222222224,0.9577777777777775,0.9484444444444448,0.9363333333333332,0.9419999999999998,0.9397777777777776,0.9541111111111114,0.9648888888888886,0.9484444444444448,303.37180790636273
8,1682538103.2595792,0.1626191255946954,0.955655660894182,0.9560000000000002,0.9591111111111109,0.951666666666667,0.9398888888888888,0.944,0.9429999999999996,0.9567777777777781,0.9658888888888884,0.951666666666667,344.1585128598743,1682538103.2595792,0.1626191255946954,0.955655660894182,0.9560000000000002,0.9591111111111109,0.951666666666667,0.9398888888888888,0.944,0.9429999999999996,0.9567777777777781,0.9658888888888884,0.951666666666667,344.1585128598743
9,1682538144.4867435,0.15332038398418163,0.9578578657574124,0.957888888888889,0.9607777777777774,0.953666666666667,0.941777777777778,0.9463333333333332,0.9451111111111107,0.9586666666666667,0.9673333333333326,0.953666666666667,385.3856775416268,1682538144.4867435,0.15332038398418163,0.9578578657574124,0.957888888888889,0.9607777777777774,0.953666666666667,0.941777777777778,0.9463333333333332,0.9451111111111107,0.9586666666666667,0.9673333333333326,0.953666666666667,385.3856775416268
10,1682538185.3186927,0.14609148514767487,0.9595595684316424,0.9598888888888889,0.9623333333333334,0.9560000000000001,0.9442222222222224,0.9482222222222221,0.9477777777777773,0.9606666666666666,0.9689999999999993,0.9560000000000001,426.217626563708,1682538185.3186927,0.14609148514767487,0.9595595684316424,0.9598888888888889,0.9623333333333334,0.9560000000000001,0.9442222222222224,0.9482222222222221,0.9477777777777773,0.9606666666666666,0.9689999999999993,0.9560000000000001,426.217626563708
11,1682538226.672296,0.13916022102865908,0.9613613718085818,0.9616666666666667,0.9637777777777773,0.9574444444444443,0.9461111111111113,0.9504444444444443,0.9496666666666662,0.9624444444444442,0.9696666666666658,0.9574444444444443,467.571230035358,1682538226.672296,0.13916022102865908,0.9613613718085818,0.9616666666666667,0.9637777777777773,0.9574444444444443,0.9461111111111113,0.9504444444444443,0.9496666666666662,0.9624444444444442,0.9696666666666658,0.9574444444444443,467.571230035358
12,1682538267.0706,0.13517425906740957,0.9628628737396664,0.9627777777777775,0.9644444444444438,0.9589999999999999,0.9478888888888891,0.9514444444444441,0.9509999999999997,0.9633333333333327,0.9697777777777769,0.9589999999999999,507.96953291363184,1682538267.0706,0.13517425906740957,0.9628628737396664,0.9627777777777775,0.9644444444444438,0.9589999999999999,0.9478888888888891,0.9514444444444441,0.9509999999999997,0.9633333333333327,0.9697777777777769,0.9589999999999999,507.96953291363184
13,1682538307.3925977,0.1293723409684996,0.9636636734008789,0.9637777777777777,0.9653333333333329,0.9605555555555553,0.949888888888889,0.9524444444444441,0.952777777777778,0.964333333333333,0.9705555555555545,0.9605555555555553,548.2915324105156,1682538307.3925977,0.1293723409684996,0.9636636734008789,0.9637777777777777,0.9653333333333329,0.9605555555555553,0.949888888888889,0.9524444444444441,0.952777777777778,0.964333333333333,0.9705555555555545,0.9605555555555553,548.2915324105156
14,1682538347.8973541,0.1257675563916564,0.9661661757363214,0.9657777777777776,0.9671111111111106,0.9627777777777774,0.951777777777778,0.9542222222222217,0.9547777777777777,0.9661111111111108,0.9724444444444434,0.9627777777777774,588.7962878147761,1682538347.8973541,0.1257675563916564,0.9661661757363214,0.9657777777777776,0.9671111111111106,0.9627777777777774,0.951777777777778,0.9542222222222217,0.9547777777777777,0.9661111111111108,0.9724444444444434,0.9627777777777774,588.7962878147761
15,1682538388.639613,0.12289384625231227,0.9672672775056627,0.9665555555555555,0.9679999999999997,0.9638888888888886,0.9527777777777777,0.9552222222222219,0.9557777777777777,0.9671111111111108,0.9732222222222213,0.9638888888888886,629.5385464376874,1682538388.639613,0.12289384625231227,0.9672672775056627,0.9665555555555555,0.9679999999999997,0.9638888888888886,0.9527777777777777,0.9552222222222219,0.9557777777777777,0.9671111111111108,0.9732222222222213,0.9638888888888886,629.5385464376874
16,1682538438.8674068,0.12017249439118637,0.9676676783296797,0.967222222222222,0.9688888888888885,0.9641111111111107,0.954,0.9567777777777775,0.9562222222222221,0.9675555555555554,0.973666666666666,0.9641111111111107,679.766340163019,1682538438.8674068,0.12017249439118637,0.9676676783296797,0.967222222222222,0.9688888888888885,0.9641111111111107,0.954,0.9567777777777775,0.9562222222222221,0.9675555555555554,0.973666666666666,0.9641111111111107,679.766340163019
17,1682538481.573937,0.11828495985310938,0.9692692809634739,0.9678888888888886,0.9694444444444438,0.9652222222222218,0.9554444444444442,0.9578888888888885,0.9573333333333331,0.9684444444444439,0.9743333333333328,0.9652222222222218,722.4728701406056,1682538481.573937,0.11828495985310938,0.9692692809634739,0.9678888888888886,0.9694444444444438,0.9652222222222218,0.9554444444444442,0.9578888888888885,0.9573333333333331,0.9684444444444439,0.9743333333333328,0.9652222222222218,722.4728701406056
18,1682538523.5132139,0.11526083143221008,0.969969982571072,0.9689999999999998,0.9702222222222217,0.9663333333333332,0.9563333333333333,0.9587777777777774,0.9586666666666666,0.969444444444444,0.9749999999999994,0.9663333333333332,764.4121481312645,1682538523.5132139,0.11526083143221008,0.969969982571072,0.9689999999999998,0.9702222222222217,0.9663333333333332,0.9563333333333333,0.9587777777777774,0.9586666666666666,0.969444444444444,0.9749999999999994,0.9663333333333332,764.4121481312645
19,1682538565.117139,0.11330650950678521,0.970070081949234,0.9691111111111106,0.9705555555555551,0.9665555555555554,0.9565555555555556,0.9591111111111107,0.9587777777777777,0.9695555555555548,0.9748888888888884,0.9665555555555554,806.0160727500916,1682538565.117139,0.11330650950678521,0.970070081949234,0.9691111111111106,0.9705555555555551,0.9665555555555554,0.9565555555555556,0.9591111111111107,0.9587777777777777,0.9695555555555548,0.9748888888888884,0.9665555555555554,806.0160727500916
