round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
0,1682535418.3548923,,,,,,,,,,,,0.0,1682535418.3548923,,,,,,,,,,,,0.0
1,1682535463.5881696,0.6062244325876236,0.8405405342578888,0.805,0.9495000000000001,0.7005000000000001,0.7725000000000002,0.9129999999999999,0.6985,0.7925000000000001,0.9584999999999999,0.7005000000000001,45.23327714204788,1682535463.5881696,0.6062244325876236,0.8405405342578888,0.805,0.9495000000000001,0.7005000000000001,0.7725000000000002,0.9129999999999999,0.6985,0.7925000000000001,0.9584999999999999,0.7005000000000001,45.23327714204788
2,1682535501.1044307,0.3172600336372852,0.9054054021835327,0.905,0.9309999999999998,0.8774999999999998,0.8515,0.8835000000000001,0.8410000000000002,0.9014999999999999,0.9389999999999998,0.8774999999999998,82.74953852891922,1682535501.1044307,0.3172600336372852,0.9054054021835327,0.905,0.9309999999999998,0.8774999999999998,0.8515,0.8835000000000001,0.8410000000000002,0.9014999999999999,0.9389999999999998,0.8774999999999998,82.74953852891922
3,1682535538.998586,0.25196865424513815,0.9252252221107483,0.9269999999999998,0.9384999999999998,0.9164999999999999,0.8825,0.8979999999999999,0.8859999999999999,0.9279999999999997,0.9470000000000003,0.9164999999999999,120.64369399547577,1682535538.998586,0.25196865424513815,0.9252252221107483,0.9269999999999998,0.9384999999999998,0.9164999999999999,0.8825,0.8979999999999999,0.8859999999999999,0.9279999999999997,0.9470000000000003,0.9164999999999999,120.64369399547577
4,1682535577.128707,0.21505029499530792,0.9382882803678513,0.9374999999999998,0.946,0.9294999999999998,0.8989999999999998,0.9109999999999998,0.8999999999999998,0.938,0.9540000000000001,0.9294999999999998,158.77381460666658,1682535577.128707,0.21505029499530792,0.9382882803678513,0.9374999999999998,0.946,0.9294999999999998,0.8989999999999998,0.9109999999999998,0.8999999999999998,0.938,0.9540000000000001,0.9294999999999998,158.77381460666658
5,1682535615.1212125,0.19326503127813338,0.9436936855316163,0.9450000000000001,0.9499999999999998,0.9385,0.9069999999999997,0.9159999999999997,0.9094999999999998,0.9450000000000001,0.9580000000000002,0.9385,196.76631999015808,1682535615.1212125,0.19326503127813338,0.9436936855316163,0.9450000000000001,0.9499999999999998,0.9385,0.9069999999999997,0.9159999999999997,0.9094999999999998,0.9450000000000001,0.9580000000000002,0.9385,196.76631999015808
6,1682535653.919147,0.17652885429561138,0.9463963896036148,0.9479999999999998,0.9514999999999997,0.9439999999999997,0.9114999999999996,0.9184999999999999,0.9154999999999998,0.9494999999999999,0.9605000000000002,0.9439999999999997,235.5642553091049,1682535653.919147,0.17652885429561138,0.9463963896036148,0.9479999999999998,0.9514999999999997,0.9439999999999997,0.9114999999999996,0.9184999999999999,0.9154999999999998,0.9494999999999999,0.9605000000000002,0.9439999999999997,235.5642553091049
7,1682535692.06755,0.16360799595713615,0.9513513594865799,0.9514999999999999,0.9544999999999998,0.9474999999999998,0.9179999999999998,0.9239999999999998,0.9215,0.9535000000000002,0.9640000000000001,0.9474999999999998,273.71265729665754,1682535692.06755,0.16360799595713615,0.9513513594865799,0.9514999999999999,0.9544999999999998,0.9474999999999998,0.9179999999999998,0.9239999999999998,0.9215,0.9535000000000002,0.9640000000000001,0.9474999999999998,273.71265729665754
8,1682535730.154057,0.15241411700844765,0.9554054141044617,0.9549999999999998,0.9574999999999999,0.9519999999999997,0.922,0.925,0.9265000000000001,0.9570000000000001,0.9654999999999999,0.9519999999999997,311.7991647839546,1682535730.154057,0.15241411700844765,0.9554054141044617,0.9549999999999998,0.9574999999999999,0.9519999999999997,0.922,0.925,0.9265000000000001,0.9570000000000001,0.9654999999999999,0.9519999999999997,311.7991647839546
9,1682535769.2309566,0.14359027240425348,0.9576576679944993,0.9570000000000001,0.9595,0.9534999999999998,0.9255000000000001,0.9285,0.929,0.9590000000000002,0.966,0.9534999999999998,350.87606421709063,1682535769.2309566,0.14359027240425348,0.9576576679944993,0.9570000000000001,0.9595,0.9534999999999998,0.9255000000000001,0.9285,0.929,0.9590000000000002,0.966,0.9534999999999998,350.87606421709063
10,1682535807.965831,0.13692598082125187,0.9585585683584213,0.959,0.9610000000000001,0.954,0.9275000000000002,0.9309999999999998,0.9305000000000001,0.9605000000000002,0.9670000000000002,0.954,389.61093866825104,1682535807.965831,0.13692598082125187,0.9585585683584213,0.959,0.9610000000000001,0.954,0.9275000000000002,0.9309999999999998,0.9305000000000001,0.9605000000000002,0.9670000000000002,0.954,389.61093866825104
