round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
0,1682541021.7724166,,,,,,,,,,,,0.0,1682541021.7724166,,,,,,,,,,,,0.0
1,1682541100.171937,0.5631686336464352,0.8648648685879178,0.832222222222222,0.9557777777777774,0.7372222222222221,0.8023333333333336,0.9414444444444445,0.7284444444444447,0.819,0.961222222222222,0.7372222222222221,78.39952059586842,1682541100.171937,0.5631686336464352,0.8648648685879178,0.832222222222222,0.9557777777777774,0.7372222222222221,0.8023333333333336,0.9414444444444445,0.7284444444444447,0.819,0.961222222222222,0.7372222222222221,78.39952059586842
2,1682541175.894596,0.3201553526851866,0.9098098046249814,0.9094444444444448,0.9347777777777777,0.8842222222222217,0.8843333333333329,0.912666666666667,0.8728888888888889,0.9075555555555558,0.9435555555555556,0.8842222222222217,154.122179529402,1682541175.894596,0.3201553526851866,0.9098098046249814,0.9094444444444448,0.9347777777777777,0.8842222222222217,0.8843333333333329,0.912666666666667,0.8728888888888889,0.9075555555555558,0.9435555555555556,0.8842222222222217,154.122179529402
3,1682541238.48714,0.25631441722313564,0.9291291230254703,0.9297777777777781,0.9415555555555554,0.9192222222222227,0.9084444444444445,0.9213333333333336,0.9083333333333338,0.9296666666666669,0.9493333333333331,0.9192222222222227,216.71472393671672,1682541238.48714,0.25631441722313564,0.9291291230254703,0.9297777777777781,0.9415555555555554,0.9192222222222227,0.9084444444444445,0.9213333333333336,0.9083333333333338,0.9296666666666669,0.9493333333333331,0.9192222222222227,216.71472393671672
4,1682541303.8283281,0.22265671069423357,0.9410410377714369,0.941222222222222,0.9492222222222219,0.933666666666667,0.923222222222222,0.9307777777777777,0.9263333333333332,0.9413333333333328,0.9566666666666666,0.933666666666667,282.0559107621511,1682541303.8283281,0.22265671069423357,0.9410410377714369,0.941222222222222,0.9492222222222219,0.933666666666667,0.923222222222222,0.9307777777777777,0.9263333333333332,0.9413333333333328,0.9566666666666666,0.933666666666667,282.0559107621511
5,1682541367.5080364,0.1999694666100873,0.9472472469011942,0.9478888888888886,0.9534444444444443,0.9421111111111115,0.9309999999999997,0.936333333333333,0.9341111111111107,0.948444444444444,0.9612222222222221,0.9421111111111115,345.7356195820702,1682541367.5080364,0.1999694666100873,0.9472472469011942,0.9478888888888886,0.9534444444444443,0.9421111111111115,0.9309999999999997,0.936333333333333,0.9341111111111107,0.948444444444444,0.9612222222222221,0.9421111111111115,345.7356195820702
6,1682541437.7830555,0.18128062155511643,0.9521521555052863,0.9528888888888888,0.9571111111111108,0.9478888888888892,0.9353333333333332,0.940333333333333,0.9389999999999996,0.9537777777777778,0.9635555555555554,0.9478888888888892,416.01063933902316,1682541437.7830555,0.18128062155511643,0.9521521555052863,0.9528888888888888,0.9571111111111108,0.9478888888888892,0.9353333333333332,0.940333333333333,0.9389999999999996,0.9537777777777778,0.9635555555555554,0.9478888888888892,416.01063933902316
7,1682541510.3390808,0.1666884284880426,0.9555555608537462,0.9553333333333337,0.9587777777777775,0.9513333333333337,0.9391111111111113,0.9426666666666665,0.9423333333333326,0.9560000000000002,0.9655555555555552,0.9513333333333337,488.56666430102456,1682541510.3390808,0.1666884284880426,0.9555555608537462,0.9553333333333337,0.9587777777777775,0.9513333333333337,0.9391111111111113,0.9426666666666665,0.9423333333333326,0.9560000000000002,0.9655555555555552,0.9513333333333337,488.56666430102456
8,1682541574.080776,0.15676295378555855,0.9579579651355743,0.9570000000000004,0.9599999999999997,0.9534444444444446,0.9407777777777778,0.9445555555555555,0.9451111111111103,0.9581111111111115,0.9667777777777772,0.9534444444444446,552.308359005716,1682541574.080776,0.15676295378555855,0.9579579651355743,0.9570000000000004,0.9599999999999997,0.9534444444444446,0.9407777777777778,0.9445555555555555,0.9451111111111103,0.9581111111111115,0.9667777777777772,0.9534444444444446,552.308359005716
9,1682541636.556736,0.14806132511132294,0.9597597698370616,0.958777777777778,0.9608888888888886,0.9558888888888892,0.9434444444444445,0.9462222222222222,0.9477777777777773,0.9601111111111109,0.967555555555555,0.9558888888888892,614.784320198165,1682541636.556736,0.14806132511132294,0.9597597698370616,0.958777777777778,0.9608888888888886,0.9558888888888892,0.9434444444444445,0.9462222222222222,0.9477777777777773,0.9601111111111109,0.967555555555555,0.9558888888888892,614.784320198165
