round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
0,1682539456.2065516,,,,,,,,,,,,0.0,1682539456.2065516,,,,,,,,,,,,0.0
1,1682539516.728527,0.8167937785387039,0.7132132106357151,0.7157777777777776,0.7756666666666668,0.6646666666666666,0.6324444444444441,0.747222222222222,0.6435555555555558,0.6724444444444445,0.799111111111111,0.6646666666666666,60.52197457154592,1682539516.728527,0.8167937785387039,0.7132132106357151,0.7157777777777776,0.7756666666666668,0.6646666666666666,0.6324444444444441,0.747222222222222,0.6435555555555558,0.6724444444444445,0.799111111111111,0.6646666666666666,60.52197457154592
2,1682539569.2583466,0.6971113092369503,0.7969969968001048,0.7985555555555555,0.8245555555555554,0.7737777777777777,0.7677777777777774,0.8266666666666664,0.7593333333333334,0.7972222222222224,0.8658888888888889,0.7737777777777777,113.05179572370318,1682539569.2583466,0.6971113092369503,0.7969969968001048,0.7985555555555555,0.8245555555555554,0.7737777777777777,0.7677777777777774,0.8266666666666664,0.7593333333333334,0.7972222222222224,0.8658888888888889,0.7737777777777777,113.05179572370318
3,1682539620.450812,0.6418128970596525,0.8293293270799849,0.8321111111111111,0.8502222222222219,0.8144444444444443,0.792111111111111,0.8255555555555555,0.7985555555555556,0.8276666666666668,0.8702222222222221,0.8144444444444443,164.24426102638245,1682539620.450812,0.6418128970596525,0.8293293270799849,0.8321111111111111,0.8502222222222219,0.8144444444444443,0.792111111111111,0.8255555555555555,0.7985555555555556,0.8276666666666668,0.8702222222222221,0.8144444444444443,164.24426102638245
4,1682539674.0778415,0.6736341999636756,0.8389389408959282,0.8425555555555555,0.8539999999999999,0.8319999999999997,0.8117777777777779,0.8338888888888887,0.8205555555555551,0.8418888888888888,0.8736666666666668,0.8319999999999997,217.87129084799025,1682539674.0778415,0.6736341999636756,0.8389389408959282,0.8425555555555555,0.8539999999999999,0.8319999999999997,0.8117777777777779,0.8338888888888887,0.8205555555555551,0.8418888888888888,0.8736666666666668,0.8319999999999997,217.87129084799025
5,1682539727.86949,0.7405416329701742,0.8344344317913055,0.8354444444444444,0.8467777777777779,0.8260000000000001,0.8032222222222222,0.8278888888888892,0.8110000000000004,0.8342222222222225,0.8676666666666663,0.8260000000000001,271.6629374980927,1682539727.86949,0.7405416329701742,0.8344344317913055,0.8354444444444444,0.8467777777777779,0.8260000000000001,0.8032222222222222,0.8278888888888892,0.8110000000000004,0.8342222222222225,0.8676666666666663,0.8260000000000001,271.6629374980927
6,1682539781.5376697,0.7495606442292532,0.8414414399200015,0.843777777777778,0.8516666666666665,0.835333333333333,0.8086666666666662,0.826777777777778,0.8227777777777776,0.841666666666667,0.8704444444444445,0.835333333333333,325.3311183664534,1682539781.5376697,0.7495606442292532,0.8414414399200015,0.843777777777778,0.8516666666666665,0.835333333333333,0.8086666666666662,0.826777777777778,0.8227777777777776,0.841666666666667,0.8704444444444445,0.835333333333333,325.3311183664534
7,1682539834.740355,0.6969856715864605,0.8498498519261678,0.8512222222222223,0.859,0.8438888888888888,0.820333333333333,0.8345555555555554,0.8333333333333334,0.8503333333333334,0.876,0.8438888888888888,378.53380313449435,1682539834.740355,0.6969856715864605,0.8498498519261678,0.8512222222222223,0.859,0.8438888888888888,0.820333333333333,0.8345555555555554,0.8333333333333334,0.8503333333333334,0.876,0.8438888888888888,378.53380313449435
8,1682539887.5703974,0.7975067678425047,0.8407407409614986,0.8404444444444443,0.847111111111111,0.8344444444444439,0.8065555555555555,0.8265555555555553,0.8208888888888891,0.8384444444444441,0.8694444444444442,0.8344444444444439,431.36384531127084,1682539887.5703974,0.7975067678425047,0.8407407409614986,0.8404444444444443,0.847111111111111,0.8344444444444439,0.8065555555555555,0.8265555555555553,0.8208888888888891,0.8384444444444441,0.8694444444444442,0.8344444444444439,431.36384531127084
9,1682539941.4624746,0.925869709584448,0.8305305295520359,0.8320000000000001,0.838,0.8253333333333334,0.7928888888888889,0.8154444444444444,0.8136666666666668,0.826555555555556,0.8608888888888888,0.8253333333333334,485.2559228738149,1682539941.4624746,0.925869709584448,0.8305305295520359,0.8320000000000001,0.838,0.8253333333333334,0.7928888888888889,0.8154444444444444,0.8136666666666668,0.826555555555556,0.8608888888888888,0.8253333333333334,485.2559228738149
10,1682539995.0967035,0.8544778608613544,0.8340340289804671,0.8361111111111115,0.8426666666666669,0.8295555555555555,0.7979999999999999,0.8180000000000002,0.8180000000000001,0.8316666666666664,0.8645555555555551,0.8295555555555555,538.8901515404383,1682539995.0967035,0.8544778608613544,0.8340340289804671,0.8361111111111115,0.8426666666666669,0.8295555555555555,0.7979999999999999,0.8180000000000002,0.8180000000000001,0.8316666666666664,0.8645555555555551,0.8295555555555555,538.8901515404383
11,1682540049.4471855,0.8444804939958784,0.8481481499142117,0.8491111111111109,0.8518888888888889,0.8448888888888887,0.8164444444444445,0.8266666666666668,0.833666666666667,0.8475555555555556,0.8712222222222222,0.8448888888888887,593.2406343592538,1682540049.4471855,0.8444804939958784,0.8481481499142117,0.8491111111111109,0.8518888888888889,0.8448888888888887,0.8164444444444445,0.8266666666666668,0.833666666666667,0.8475555555555556,0.8712222222222222,0.8448888888888887,593.2406343592538
12,1682540102.5858467,0.9249350008037355,0.8339339355627696,0.8351111111111109,0.8410000000000001,0.8302222222222222,0.8003333333333333,0.8187777777777779,0.8185555555555554,0.8336666666666663,0.8643333333333334,0.8302222222222222,646.3792957332399,1682540102.5858467,0.9249350008037355,0.8339339355627696,0.8351111111111109,0.8410000000000001,0.8302222222222222,0.8003333333333333,0.8187777777777779,0.8185555555555554,0.8336666666666663,0.8643333333333334,0.8302222222222222,646.3792957332399
13,1682540156.233943,0.9712801006105211,0.8338338335355123,0.8354444444444444,0.8393333333333333,0.8314444444444445,0.7965555555555557,0.8120000000000002,0.8182222222222224,0.8308888888888888,0.8597777777777775,0.8314444444444445,700.0273917357127,1682540156.233943,0.9712801006105211,0.8338338335355123,0.8354444444444444,0.8393333333333333,0.8314444444444445,0.7965555555555557,0.8120000000000002,0.8182222222222224,0.8308888888888888,0.8597777777777775,0.8314444444444445,700.0273917357127
14,1682540209.1397207,1.0197692311472364,0.830130128065745,0.8306666666666666,0.8351111111111112,0.8256666666666669,0.7934444444444451,0.8117777777777776,0.812222222222222,0.8276666666666667,0.8576666666666667,0.8256666666666669,752.9331688827939,1682540209.1397207,1.0197692311472364,0.830130128065745,0.8306666666666666,0.8351111111111112,0.8256666666666669,0.7934444444444451,0.8117777777777776,0.812222222222222,0.8276666666666667,0.8576666666666667,0.8256666666666669,752.9331688827939
15,1682540261.8975,0.9855560763014688,0.8330330312252044,0.8348888888888893,0.8380000000000006,0.8302222222222222,0.795888888888889,0.8146666666666669,0.8166666666666669,0.8315555555555556,0.8615555555555556,0.8302222222222222,805.6909482505587,1682540261.8975,0.9855560763014688,0.8330330312252044,0.8348888888888893,0.8380000000000006,0.8302222222222222,0.795888888888889,0.8146666666666669,0.8166666666666669,0.8315555555555556,0.8615555555555556,0.8302222222222222,805.6909482505587
16,1682540315.4809966,0.9796997163030836,0.8417417426904042,0.8425555555555552,0.8454444444444447,0.8394444444444444,0.8076666666666663,0.8222222222222221,0.8261111111111112,0.8410000000000004,0.8658888888888884,0.8394444444444444,859.2744452926847,1682540315.4809966,0.9796997163030836,0.8417417426904042,0.8425555555555552,0.8454444444444447,0.8394444444444444,0.8076666666666663,0.8222222222222221,0.8261111111111112,0.8410000000000004,0.8658888888888884,0.8394444444444444,859.2744452926847
17,1682540368.7318678,0.9879732314083312,0.8405405422051747,0.8411111111111113,0.8443333333333334,0.8368888888888888,0.81,0.8248888888888886,0.829111111111111,0.8403333333333333,0.8686666666666669,0.8368888888888888,912.5253167814678,1682540368.7318678,0.9879732314083312,0.8405405422051747,0.8411111111111113,0.8443333333333334,0.8368888888888888,0.81,0.8248888888888886,0.829111111111111,0.8403333333333333,0.8686666666666669,0.8368888888888888,912.5253167814678
18,1682540422.3192427,0.9986225369903776,0.8377377390861511,0.8381111111111114,0.8415555555555554,0.833111111111111,0.8036666666666666,0.8254444444444445,0.8178888888888888,0.8348888888888886,0.8654444444444446,0.833111111111111,966.1126914315754,1682540422.3192427,0.9986225369903776,0.8377377390861511,0.8381111111111114,0.8415555555555554,0.833111111111111,0.8036666666666666,0.8254444444444445,0.8178888888888888,0.8348888888888886,0.8654444444444446,0.833111111111111,966.1126914315754
19,1682540475.972449,1.1606719586584302,0.8225225236680772,0.823888888888889,0.8262222222222219,0.8206666666666667,0.7846666666666668,0.8074444444444444,0.8101111111111112,0.8185555555555556,0.8563333333333331,0.8206666666666667,1019.7658976342943,1682540475.972449,1.1606719586584302,0.8225225236680772,0.823888888888889,0.8262222222222219,0.8206666666666667,0.7846666666666668,0.8074444444444444,0.8101111111111112,0.8185555555555556,0.8563333333333331,0.8206666666666667,1019.7658976342943
