round,pre_train:ts,pre_train:eval:loss,pre_train:eval:acc,pre_train:eval:f1 micro,pre_train:eval:precision micro,pre_train:eval:recall micro,pre_train:eval:f1 macro,pre_train:eval:precision macro,pre_train:eval:recall macro,pre_train:eval:f1 weighted,pre_train:eval:precision weighted,pre_train:eval:recall weighted,pre_train:te,post_train:ts,post_train:eval:loss,post_train:eval:acc,post_train:eval:f1 micro,post_train:eval:precision micro,post_train:eval:recall micro,post_train:eval:f1 macro,post_train:eval:precision macro,post_train:eval:recall macro,post_train:eval:f1 weighted,post_train:eval:precision weighted,post_train:eval:recall weighted,post_train:te
0,1682523665.498025,,,,,,,,,,,,0.0,1682523665.498025,,,,,,,,,,,,0.0
1,1682523711.415717,0.5760967095692953,0.860360363456938,0.8257777777777778,0.9533333333333333,0.7291111111111108,0.7943333333333336,0.9384444444444444,0.7165555555555554,0.812888888888889,0.9595555555555555,0.7291111111111108,45.91769261095259,1682523711.415717,0.5760967095692953,0.860360363456938,0.8257777777777778,0.9533333333333333,0.7291111111111108,0.7943333333333336,0.9384444444444444,0.7165555555555554,0.812888888888889,0.9595555555555555,0.7291111111111108,45.91769261095259
2,1682523750.5784485,0.3207450500792927,0.9101101047462887,0.9097777777777779,0.9342222222222224,0.8846666666666664,0.8838888888888891,0.913,0.8719999999999996,0.9081111111111113,0.9436666666666671,0.8846666666666664,85.08042351139916,1682523750.5784485,0.3207450500792927,0.9101101047462887,0.9097777777777779,0.9342222222222224,0.8846666666666664,0.8838888888888891,0.913,0.8719999999999996,0.9081111111111113,0.9436666666666671,0.8846666666666664,85.08042351139916
3,1682523789.7967,0.2572502866387367,0.9278278198507097,0.9291111111111113,0.9409999999999996,0.9178888888888889,0.908,0.9208888888888892,0.9078888888888889,0.9290000000000002,0.9488888888888887,0.9178888888888889,124.29867494636112,1682523789.7967,0.2572502866387367,0.9278278198507097,0.9291111111111113,0.9409999999999996,0.9178888888888889,0.908,0.9208888888888892,0.9078888888888889,0.9290000000000002,0.9488888888888887,0.9178888888888889,124.29867494636112
4,1682523830.6351037,0.2218829813102881,0.9390390349758996,0.9408888888888884,0.9491111111111111,0.9325555555555561,0.9230000000000003,0.932111111111111,0.9244444444444445,0.9407777777777776,0.9562222222222222,0.9325555555555561,165.13707919915518,1682523830.6351037,0.2218829813102881,0.9390390349758996,0.9408888888888884,0.9491111111111111,0.9325555555555561,0.9230000000000003,0.932111111111111,0.9244444444444445,0.9407777777777776,0.9562222222222222,0.9325555555555561,165.13707919915518
5,1682523869.1757681,0.19831312116649416,0.9473473442925348,0.9486666666666664,0.9537777777777776,0.9422222222222225,0.9316666666666666,0.9375555555555555,0.9339999999999994,0.9486666666666664,0.9611111111111111,0.9422222222222225,203.67774329185485,1682523869.1757681,0.19831312116649416,0.9473473442925348,0.9486666666666664,0.9537777777777776,0.9422222222222225,0.9316666666666666,0.9375555555555555,0.9339999999999994,0.9486666666666664,0.9611111111111111,0.9422222222222225,203.67774329185485
6,1682523908.3453627,0.1817027672711346,0.9517517553435432,0.9518888888888888,0.9565555555555553,0.9470000000000004,0.9352222222222221,0.9403333333333332,0.9384444444444441,0.9526666666666664,0.9635555555555554,0.9470000000000004,242.84733831352656,1682523908.3453627,0.1817027672711346,0.9517517553435432,0.9518888888888888,0.9565555555555553,0.9470000000000004,0.9352222222222221,0.9403333333333332,0.9384444444444441,0.9526666666666664,0.9635555555555554,0.9470000000000004,242.84733831352656
7,1682523950.1450884,0.16742116125921408,0.9554554614755842,0.9551111111111114,0.9587777777777772,0.9511111111111114,0.9387777777777777,0.9428888888888888,0.9424444444444439,0.9560000000000002,0.9654444444444441,0.9511111111111114,284.64706426726445,1682523950.1450884,0.16742116125921408,0.9554554614755842,0.9551111111111114,0.9587777777777772,0.9511111111111114,0.9387777777777777,0.9428888888888888,0.9424444444444439,0.9560000000000002,0.9654444444444441,0.9511111111111114,284.64706426726445
8,1682523988.7968318,0.15627136712686884,0.9580580651760101,0.9563333333333336,0.9592222222222218,0.9534444444444446,0.940888888888889,0.9439999999999997,0.9451111111111102,0.957888888888889,0.9657777777777773,0.9534444444444446,323.2988074435128,1682523988.7968318,0.15627136712686884,0.9580580651760101,0.9563333333333336,0.9592222222222218,0.9534444444444446,0.940888888888889,0.9439999999999997,0.9451111111111102,0.957888888888889,0.9657777777777773,0.9534444444444446,323.2988074435128
9,1682524028.8747728,0.14745226968079805,0.9601601693365309,0.9586666666666667,0.9611111111111108,0.9560000000000001,0.9433333333333336,0.9465555555555554,0.9475555555555549,0.9599999999999997,0.967555555555555,0.9560000000000001,363.37674851682453,1682524028.8747728,0.14745226968079805,0.9601601693365309,0.9586666666666667,0.9611111111111108,0.9560000000000001,0.9433333333333336,0.9465555555555554,0.9475555555555549,0.9599999999999997,0.967555555555555,0.9560000000000001,363.37674851682453
